name,case_number,active_case,case_death,case_recovered,updated_at
Egypt,5268,3553,380,1335,2020-04-29T19:54:53.898136
South Africa,4996,2830,93,2073,2020-04-29T19:54:53.903184
Morocco,4321,3225,168,928,2020-04-29T19:54:53.907098
Algeria,3848,1702,444,1702,2020-04-29T19:54:53.911074
Cameroon,1806,832,59,915,2020-04-29T19:54:53.915106
Ghana,1671,1467,16,188,2020-04-29T19:54:53.919197
Nigeria,1532,1233,44,255,2020-04-29T19:54:53.923106
Guinea,1240,964,7,269,2020-04-29T19:54:53.927135
Ivory Coast,1183,644,14,525,2020-04-29T19:54:53.931119
Djibouti,1077,476,2,599,2020-04-29T19:54:53.934737
Tunisia,975,656,40,279,2020-04-29T19:54:53.939138
Senegal,882,558,9,315,2020-04-29T19:54:53.943504
Niger,709,275,31,403,2020-04-29T19:54:53.951054
Burkina Faso,638,120,42,476,2020-04-29T19:54:53.953408
Somalia,582,534,28,20,2020-04-29T19:54:53.956808
Democratic Republic of the Congo,491,402,30,59,2020-04-29T19:54:53.959643
Mali,482,328,25,129,2020-04-29T19:54:53.962173
Tanzania,480,297,16,167,2020-04-29T19:54:53.965889
Mayotte,460,221,4,235,2020-04-29T19:54:53.969102
Réunion,418,118,0,300,2020-04-29T19:54:53.974804
Kenya,384,241,14,129,2020-04-29T19:54:53.979070
Sudan,375,315,28,32,2020-04-29T19:54:53.982887
Mauritius,334,13,10,306,2020-04-29T19:54:53.986272
Equatorial Guinea,315,305,1,9,2020-04-29T19:54:53.991156
Gabon,238,182,3,53,2020-04-29T19:54:53.993551
Rwanda,212,117,0,95,2020-04-29T19:54:53.996576
Republic of the Congo,207,180,8,19,2020-04-29T19:54:53.999686
Liberia,141,80,16,45,2020-04-29T19:54:54.002914
Ethiopia,130,69,3,58,2020-04-29T19:54:54.006843
Madagascar,128,46,0,82,2020-04-29T19:54:54.009307
Cape Verde,114,111,1,2,2020-04-29T19:54:54.015015
Togo,109,38,7,64,2020-04-29T19:54:54.020160
Sierra Leone,104,88,4,12,2020-04-29T19:54:54.023684
Zambia,97,40,3,54,2020-04-29T19:54:54.027678
Eswatini,91,80,1,10,2020-04-29T19:54:54.031289
Uganda,79,27,0,52,2020-04-29T19:54:54.034075
Mozambique,76,64,0,12,2020-04-29T19:54:54.041321
Guinea-Bissau,73,54,1,18,2020-04-29T19:54:54.048182
Benin,64,30,1,33,2020-04-29T19:54:54.054600
Libya,61,41,2,18,2020-04-29T19:54:54.058883
Chad,52,31,2,19,2020-04-29T19:54:54.063346
Central African Republic,50,40,0,10,2020-04-29T19:54:54.067303
Eritrea,39,26,0,13,2020-04-29T19:54:54.075244
Malawi,36,29,3,5,2020-04-29T19:54:54.099061
South Sudan,34,34,0,0,2020-04-29T19:54:54.104457
Zimbabwe,32,23,4,5,2020-04-29T19:54:54.107621
Angola,27,19,2,6,2020-04-29T19:54:54.114371
Botswana,23,17,1,5,2020-04-29T19:54:54.120216
Namibia,16,8,0,8,2020-04-29T19:54:54.123019
Seychelles,11,5,0,6,2020-04-29T19:54:54.128046
Burundi,11,6,1,4,2020-04-29T19:54:54.134922
Gambia,10,1,1,8,2020-04-29T19:54:54.138977
Mauritania,8,1,1,6,2020-04-29T19:54:54.148091
São Tomé and Príncipe,8,4,0,4,2020-04-29T19:54:54.156847
Western Sahara,6,1,0,5,2020-04-29T19:54:54.164690
