,date,new_cases,new_deaths,total_cases,total_deaths
0,2019-12-31,0,0,0,0
1,2020-01-01,0,0,0,0
2,2020-01-02,0,0,0,0
3,2020-01-03,0,0,0,0
4,2020-01-04,0,0,0,0
5,2020-01-05,0,0,0,0
6,2020-01-06,0,0,0,0
7,2020-01-07,0,0,0,0
8,2020-01-08,0,0,0,0
9,2020-01-09,0,0,0,0
10,2020-01-10,0,0,0,0
11,2020-01-11,0,0,0,0
12,2020-01-12,0,0,0,0
13,2020-01-13,0,0,0,0
14,2020-01-14,0,0,0,0
15,2020-01-15,0,0,0,0
16,2020-01-16,0,0,0,0
17,2020-01-17,0,0,0,0
18,2020-01-18,0,0,0,0
19,2020-01-19,0,0,0,0
20,2020-01-20,0,0,0,0
21,2020-01-21,0,0,0,0
22,2020-01-22,0,0,0,0
23,2020-01-23,0,0,0,0
24,2020-01-24,0,0,0,0
25,2020-01-25,0,0,0,0
26,2020-01-26,0,0,0,0
27,2020-01-27,0,0,0,0
28,2020-01-28,0,0,0,0
29,2020-01-29,0,0,0,0
30,2020-01-30,0,0,0,0
31,2020-01-31,0,0,0,0
32,2020-02-01,0,0,0,0
33,2020-02-02,0,0,0,0
34,2020-02-03,0,0,0,0
35,2020-02-04,0,0,0,0
36,2020-02-05,0,0,0,0
37,2020-02-06,0,0,0,0
38,2020-02-07,0,0,0,0
39,2020-02-08,0,0,0,0
40,2020-02-09,0,0,0,0
41,2020-02-10,0,0,0,0
42,2020-02-11,0,0,0,0
43,2020-02-12,0,0,0,0
44,2020-02-13,0,0,0,0
45,2020-02-14,0,0,0,0
46,2020-02-15,1,0,1,0
47,2020-02-16,0,0,1,0
48,2020-02-17,0,0,1,0
49,2020-02-18,0,0,1,0
50,2020-02-19,0,0,1,0
51,2020-02-20,0,0,1,0
52,2020-02-21,0,0,1,0
53,2020-02-22,0,0,1,0
54,2020-02-23,0,0,1,0
55,2020-02-24,0,0,1,0
56,2020-02-25,0,0,1,0
57,2020-02-26,1,0,2,0
58,2020-02-27,0,0,2,0
59,2020-02-28,1,0,3,0
60,2020-02-29,0,0,3,0
61,2020-03-01,2,0,5,0
62,2020-03-02,1,0,6,0
63,2020-03-03,3,0,3,0
64,2020-03-04,2,0,5,0
65,2020-03-05,9,0,15,0
66,2020-03-06,9,0,27,0
67,2020-03-07,14,0,17,0
68,2020-03-08,1,0,2,0
69,2020-03-09,39,1,74,1
70,2020-03-10,12,0,66,1
71,2020-03-11,9,0,66,1
72,2020-03-12,12,1,107,2
73,2020-03-13,41,2,150,4
74,2020-03-14,42,1,189,5
75,2020-03-15,33,1,232,6
76,2020-03-16,84,2,315,8
77,2020-03-17,76,0,392,8
78,2020-03-18,92,4,484,12
79,2020-03-19,125,4,609,16
80,2020-03-20,108,1,717,17
81,2020-03-21,226,7,943,24
82,2020-03-22,188,10,1131,34
83,2020-03-23,199,8,1330,42
84,2020-03-24,349,8,1679,50
85,2020-03-25,398,11,2077,61
86,2020-03-26,480,8,2557,69
87,2020-03-27,561,11,3118,80
88,2020-03-28,514,19,3632,99
89,2020-03-29,266,19,3898,118
90,2020-03-30,457,16,4355,134
91,2020-03-31,488,23,4843,157
92,2020-04-01,486,21,5329,178
93,2020-04-02,575,32,5904,210
94,2020-04-03,612,31,6516,241
95,2020-04-04,590,47,7106,288
96,2020-04-05,881,66,7987,354
97,2020-04-06,719,54,8706,408
98,2020-04-07,557,43,9263,451
99,2020-04-08,677,45,9940,496
100,2020-04-09,863,49,10803,545
101,2020-04-10,742,57,11545,602
102,2020-04-11,628,61,12173,663
103,2020-04-12,648,51,12821,714
104,2020-04-13,805,45,13626,759
105,2020-04-14,715,45,14341,804
106,2020-04-15,967,40,15308,844
107,2020-04-16,877,34,16185,878
108,2020-04-17,1032,53,17217,931
109,2020-04-18,1465,47,18682,978
110,2020-04-19,1081,39,19763,1017
111,2020-04-20,1175,62,20938,1079
112,2020-04-21,912,34,21850,1113
113,2020-04-22,1299,31,23149,1144
114,2020-04-23,984,42,24133,1186
115,2020-04-24,1464,54,25597,1240
116,2020-04-25,1737,45,27334,1285
117,2020-04-26,1181,42,28515,1327
118,2020-04-27,1357,37,29872,1364
119,2020-04-28,1377,53,31249,1417
120,2020-04-29,1722,55,32971,1472
